OBJECTID,ADDRESS,Longitude,ID,Latitude,HAM_CMA,Sum_count
162,"205 Colborne St, Brantford, ON N3T 2H2, Canada",-80.2622311,162,43.1383882,0,1
163,"205 Pandora Crescent, Kitchener, ON N2H 3E5, Canada",-80.4721364,163,43.4492365,0,1
164,"205, 10220 Derry Rd, Milton, ON L9T 7J3, Canada",-79.8370535,164,43.5286418,0,3
165,"206 John St, Dunnville, ON N1A, Canada",-79.6249815,165,42.9049347,0,5
166,"206 Locke St S, Hamilton, ON L8P 4B4, Canada",-79.8861059,166,43.2546542,1,2
167,"2065 Fairview St, Burlington, ON L7R 2J6, Canada",-79.8119893,167,43.3377649,1,1
168,"2079 Lakeshore Rd, Burlington, ON L7R 1E2, Canada",-79.7931581,168,43.3262974,1,4
169,"21 College Ave W, Guelph, ON N1G 1R7, Canada",-80.2346748,169,43.5310422,0,1
170,"21 Surrey St W, Guelph, ON N1H 3R3, Canada",-80.2467139,170,43.540627,0,5
171,"21 Yarmouth St, Guelph, ON N1H 4G2, Canada",-80.2521265,171,43.5462627,0,1
172,"210 Lorraine Ave, Kitchener, ON N2B 3T4, Canada",-80.4402504,172,43.4611234,0,4
173,"2100 Bovaird Dr E, Brampton, ON L6R 3J7, Canada",-79.7430207,173,43.7472961,0,1
174,"211 Dawson Rd, Guelph, ON N1H 1A3, Canada",-80.2865732,174,43.5555016,0,1
175,"2121 Main St N, Jarvis, ON N0A 1J0, Canada",-80.1107968,175,42.8914064,0,1
176,"2125 Wyecroft Rd, Oakville, ON L6L 5L7, Canada",-79.726404,176,43.4186213,0,1
177,"215 Highland Rd W, Kitchener, ON N2M 3C1, Canada",-80.5059433,177,43.4401513,0,1
178,"215 Main St W, Hamilton, ON L8P 1J4, Canada",-79.8787161,178,43.2574584,1,1
179,"217 Governors Rd, Dundas, ON L9H 3J7, Canada",-79.9655461,179,43.2610089,1,1
180,"217 Terrace Hill St, Brantford, ON N3R 1G8, Canada",-80.2749205,180,43.152453,0,5
181,"2190 Lakeshore Rd, Burlington, ON L7R 1A6, Canada",-79.788537,181,43.3280871,1,2
182,"220 Main St W, Hamilton, ON L8P 1J3, Canada",-79.8787489,182,43.2578318,1,2
183,"220 Wales Crescent, Oakville, ON L6L 3X7, Canada",-79.704758,183,43.4079824,0,1
184,"2200 Eglinton Ave W, Mississauga, ON L5M 2N1, Canada",-79.703268,184,43.5586088,0,1
185,"2200 Fairview St, Burlington, ON L7R 4H9, Canada",-79.8050282,185,43.3409862,1,12
186,"221 Brant Ave, Brantford, ON N3T 3J2, Canada",-80.2759489,186,43.1470282,0,17
187,"222 Fairview Dr, Brantford, ON N3R 2W9, Canada",-80.2613821,187,43.1698457,0,4
188,"223 Briar Hill Crescent, Ancaster, ON L9G 3M9, Canada",-79.965629,188,43.2309634,1,1
189,"225 John St S, Hamilton, ON L8N 2C7, Canada",-79.868472,189,43.249929,1,2
190,"23 Admiral Rd, Brantford, ON N3R 1L3, Canada",-80.2838302,190,43.1568923,0,1
191,"23 Main St S, Waterford, ON N0E 1Y0, Canada",-80.2905406,191,42.9349745,0,3
192,"230 Canborough St, Smithville, ON L0R 2A0, Canada",-79.5485347,192,43.0956658,0,11
193,"2315 Bristol Cir, Oakville, ON L6H 6P8, Canada",-79.6749854,193,43.516804,0,5
194,"232 Stonehenge Dr, Ancaster, ON L9K 1R5, Canada",-79.9488517,194,43.2172269,1,1
195,"2338 Hurontario St, Mississauga, ON L5B 1N1, Canada",-79.6091669,195,43.574484,0,2
196,"235 Union St E, Fergus, ON N1M 1W2, Canada",-80.3733752,196,43.7055191,0,1
197,"237 Barton St E, Hamilton, ON L8L 2X2, Canada",-79.8543243,197,43.2617528,1,38
198,"237 Barton St, Stoney Creek, ON L8E 2K4, Canada",-79.7328893,198,43.2314428,1,2
199,"238 Grand River St N, Paris, ON N3L 2N7, Canada",-80.3870839,199,43.2045736,0,6
200,"238 King St N, Waterloo, ON N2J 2Y7, Canada",-80.5245319,200,43.4756175,0,5
201,"24 Queens Square, Cambridge, ON N1S 1H6, Canada",-80.317176,201,43.3585929,0,1
202,"240 Roncesvalles Ave, Toronto, ON M6R 1M3, Canada",-79.4493105,202,43.6455281,0,1
203,"2400 Brant St, Burlington, ON L7P 4N3, Canada",-79.8480996,203,43.3596279,1,2
204,"245 Argyle St S, Caledonia, ON N3W 1K7, Canada",-79.9587495,204,43.0657275,0,2
205,"246 Dundas St S, Cambridge, ON N1R 8A8, Canada",-80.2889679,205,43.3549912,0,3
206,"248 Argyle St S, Caledonia, ON N3W 1K7, Canada",-79.9579566,206,43.0652157,0,1
