ID,LONGITUDE,LATITUDE,Coloring,DA,CD,Province,CSD,Abbrev,Suppressed,POP2016,POP2011,Age <4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+,DAUID,POPY65,POPO65
203041,-79709293,43603389,1,35210249,3521,35,3521005,ON,N,973,970,45,45,65,95,20,15,15,25,15,70,60,60,65,80,85,100,60,55,45,15,15,5,5,35210249,975,85
203265,-79704371,43610766,2,35210252,3521,35,3521005,ON,N,481,480,20,30,45,55,10,15,10,15,5,40,30,25,25,45,40,30,35,20,10,5,5,0,5,35210252,495,25
203281,-79701816,43611079,0,35210253,3521,35,3521005,ON,N,346,350,15,25,30,35,10,5,5,5,10,25,20,20,25,30,35,30,25,15,10,0,5,0,0,35210253,365,15
203049,-79708675,43610971,1,35210255,3521,35,3521005,ON,N,528,530,15,25,45,70,15,20,10,20,10,50,30,15,30,40,55,50,35,25,15,15,10,5,5,35210255,560,50
203017,-79717411,43610803,3,35210256,3521,35,3521005,ON,N,1130,1130,25,65,95,135,25,30,20,35,20,120,55,35,35,90,130,120,90,55,40,25,15,5,5,35210256,1180,90
226809,-79680347,43617915,0,35210261,3521,35,3521005,ON,N,692,690,20,30,40,55,10,10,15,15,10,50,55,40,35,40,55,60,65,70,20,30,15,10,5,35210261,675,80
226521,-79689060,43611747,2,35210262,3521,35,3521005,ON,N,1340,1340,95,85,85,105,25,15,25,20,20,120,100,115,95,100,125,105,70,60,25,20,10,10,5,35210262,1365,70
226513,-79683860,43605981,1,35210264,3521,35,3521005,ON,N,1432,1435,90,60,105,115,25,25,30,25,15,100,90,90,125,115,150,120,95,75,30,30,25,10,10,35210264,1450,105
226553,-79677271,43598123,1,35210269,3521,35,3521005,ON,N,926,925,55,50,65,85,15,20,15,20,20,70,65,50,55,85,100,75,70,45,25,15,15,10,5,35210269,960,70
227913,-79589872,43550718,3,35210381,3521,35,3521005,ON,N,963,960,20,35,25,25,0,10,5,5,5,40,85,75,70,55,75,90,55,70,30,20,35,45,115,35210381,745,245
227897,-79587546,43545400,1,35210384,3521,35,3521005,ON,N,399,395,10,10,5,15,0,5,5,5,0,20,30,25,15,35,50,50,25,35,30,15,15,15,10,35210384,340,85
227889,-79593055,43541794,0,35210386,3521,35,3521005,ON,N,497,495,20,20,10,20,5,5,10,5,0,20,25,30,35,40,45,50,45,35,45,20,15,10,5,35210386,420,95
227577,-79596896,43543596,2,35210387,3521,35,3521005,ON,N,452,450,25,20,20,25,5,0,5,5,5,25,30,35,45,35,50,35,40,30,15,5,10,10,5,35210387,435,45
227585,-79595480,43546123,0,35210388,3521,35,3521005,ON,N,441,440,30,10,15,15,0,5,5,0,5,20,30,30,35,25,40,45,40,30,15,20,15,15,5,35210388,380,70
227569,-79599311,43541713,4,35210389,3521,35,3521005,ON,N,689,690,35,35,25,55,15,15,10,10,10,40,45,45,35,45,75,75,75,40,35,15,10,5,10,35210389,685,75
227561,-79600894,43538600,2,35210390,3521,35,3521005,ON,N,670,670,25,35,35,50,10,5,10,15,10,35,30,30,50,50,80,70,55,50,20,20,15,10,5,35210390,645,70
